"field_path","count","percent_of_records","description"
"type",45243,100.000000,"Top-level record category."
"sessionId",43592,96.350817,"Conversation/session identifier."
"timestamp",43589,96.344186,"Event timestamp in ISO-8601 format."
"cwd",42520,93.981389,"Working directory at event time."
"gitBranch",42520,93.981389,"Active git branch at event time."
"isSidechain",42520,93.981389,"Auto-generated: field isSidechain in path isSidechain."
"parentUuid",42520,93.981389,"Parent log record identifier."
"userType",42520,93.981389,"Auto-generated: field userType in path userType."
"uuid",42520,93.981389,"Unique identifier for this log record."
"version",42520,93.981389,"Claude/Codex runtime version string."
"slug",42491,93.917291,"Human-readable session slug."
"toolUseID",25403,56.147912,"Primary tool-use identifier for progress/system records."
"data",24019,53.088876,"Progress payload container."
"data.type",24019,53.088876,"Progress subtype (hook_progress, bash_progress, agent_progress, etc)."
"parentToolUseID",24019,53.088876,"Parent tool-use identifier."
"message",16646,36.792432,"Top-level message payload."
"message.content",16646,36.792432,"Message content container."
"message.role",16646,36.792432,"Speaker role inside message payload."
"message.content[].type",14977,33.103464,"Typed content block category (text, thinking, tool_use, tool_result, image, document)."
"data.command",14478,32.000530,"Command associated with hook/progress events."
"data.hookEvent",14478,32.000530,"Lifecycle stage for hook progress."
"data.hookName",14478,32.000530,"Hook identifier."
"message.id",9948,21.987932,"Model message identifier."
"message.model",9948,21.987932,"Model identifier used for this assistant response."
"message.stop_reason",9948,21.987932,"Why model output stopped."
"message.stop_sequence",9948,21.987932,"Matched stop sequence, when present."
"message.type",9948,21.987932,"Auto-generated: field type in path message.type."
"message.usage",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.cache_creation",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.cache_creation.ephemeral_1h_input_tokens",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.cache_creation.ephemeral_5m_input_tokens",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.cache_creation_input_tokens",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.cache_read_input_tokens",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.input_tokens",9948,21.987932,"Token/service usage accounting for this assistant message."
"message.usage.output_tokens",9948,21.987932,"Token/service usage accounting for this assistant message."
